vid,date
h632-111.2009,2009-07-23
s242-111.2009,2009-07-23
h631-111.2009,2009-07-23
h617-111.2009,2009-07-23
h636-111.2009,2009-07-23
h622-111.2009,2009-07-23
h630-111.2009,2009-07-23
h644-111.2009,2009-07-24
h645-111.2009,2009-07-24
h643-111.2009,2009-07-24
h647-111.2009,2009-07-27
h650-111.2009,2009-07-28
s246-111.2009,2009-07-29
h654-111.2009,2009-07-29
s244-111.2009,2009-07-29
h663-111.2009,2009-07-30
h669-111.2009,2009-07-30
h679-111.2009,2009-07-30
h664-111.2009,2009-07-30
s266-111.2009,2009-08-06
s269-111.2009,2009-08-06
s264-111.2009,2009-08-06
s270-111.2009,2009-08-06
h693-111.2009,2009-09-09
h692-111.2009,2009-09-09
h694-111.2009,2009-09-10
h695-111.2009,2009-09-10
h696-111.2009,2009-09-14
h699-111.2009,2009-09-15
h708-111.2009,2009-09-16
s279-111.2009,2009-09-16
s281-111.2009,2009-09-16
s278-111.2009,2009-09-16
h703-111.2009,2009-09-16
s287-111.2009,2009-09-17
s286-111.2009,2009-09-17
h715-111.2009,2009-09-17
h710-111.2009,2009-09-17
h713-111.2009,2009-09-17
s285-111.2009,2009-09-17
h727-111.2009,2009-09-23
s294-111.2009,2009-09-23
h730-111.2009,2009-09-23
s297-111.2009,2009-09-24
s299-111.2009,2009-09-29
h740-111.2009,2009-09-29
h742-111.2009,2009-09-29
h743-111.2009,2009-09-30
h753-111.2009,2009-10-06
s312-111.2009,2009-10-06
s306-111.2009,2009-10-06
h756-111.2009,2009-10-07
h763-111.2009,2009-10-07
h768-111.2009,2009-10-08
h777-111.2009,2009-10-14
h776-111.2009,2009-10-14
h775-111.2009,2009-10-14
h789-111.2009,2009-10-15
h787-111.2009,2009-10-15
h780-111.2009,2009-10-15
h795-111.2009,2009-10-21
h804-111.2009,2009-10-22
h807-111.2009,2009-10-22
h798-111.2009,2009-10-22
h820-111.2009,2009-10-28
s330-111.2009,2009-10-29
h829-111.2009,2009-10-29
h834-111.2009,2009-11-02
h850-111.2009,2009-11-04
h844-111.2009,2009-11-04
h845-111.2009,2009-11-04
h841-111.2009,2009-11-04
s333-111.2009,2009-11-04
h863-111.2009,2009-11-05
s339-111.2009,2009-11-05
s338-111.2009,2009-11-05
h864-111.2009,2009-11-05
h856-111.2009,2009-11-05
h874-111.2009,2009-11-06
h868-111.2009,2009-11-06
h867-111.2009,2009-11-06
h869-111.2009,2009-11-06
h881-111.2009,2009-11-07
h891-111.2009,2009-11-16
h893-111.2009,2009-11-17
s346-111.2009,2009-11-17
s349-111.2009,2009-11-17
h896-111.2009,2009-11-18
h897-111.2009,2009-11-18
h906-111.2009,2009-11-19
h902-111.2009,2009-11-19
h917-111.2009,2009-12-02
s358-111.2009,2009-12-03
h924-111.2009,2009-12-03
s361-111.2009,2009-12-04
s368-111.2009,2009-12-07
s369-111.2009,2009-12-08
s370-111.2009,2009-12-08
h933-111.2009,2009-12-08
h935-111.2009,2009-12-08
h945-111.2009,2009-12-09
h939-111.2009,2009-12-09
h941-111.2009,2009-12-09
h953-111.2009,2009-12-10
h952-111.2009,2009-12-10
h947-111.2009,2009-12-10
h956-111.2009,2009-12-10
s372-111.2009,2009-12-11
h962-111.2009,2009-12-11
h964-111.2009,2009-12-11
h960-111.2009,2009-12-11
h968-111.2009,2009-12-11
h969-111.2009,2009-12-14
h974-111.2009,2009-12-15
h973-111.2009,2009-12-15
h971-111.2009,2009-12-15
s377-111.2009,2009-12-15
h972-111.2009,2009-12-15
h983-111.2009,2009-12-16
s379-111.2009,2009-12-16
h981-111.2009,2009-12-16
h987-111.2009,2009-12-16
s385-111.2009,2009-12-21
s391-111.2009,2009-12-23
s396-111.2009,2009-12-24
h1-111.2010,2010-01-12
h2-111.2010,2010-01-13
h6-111.2010,2010-01-19
h7-111.2010,2010-01-19
s1-111.2010,2010-01-20
h9-111.2010,2010-01-20
h11-111.2010,2010-01-20
h15-111.2010,2010-01-21
s2-111.2010,2010-01-21
s3-111.2010,2010-01-25
s6-111.2010,2010-01-26
s9-111.2010,2010-01-26
s7-111.2010,2010-01-26
h22-111.2010,2010-01-27
s14-111.2010,2010-01-28
h27-111.2010,2010-02-02
h29-111.2010,2010-02-03
h34-111.2010,2010-02-03
h37-111.2010,2010-02-03
s18-111.2010,2010-02-04
h47-111.2010,2010-02-04
h43-111.2010,2010-02-04
h42-111.2010,2010-02-04
h59-111.2010,2010-02-23
h58-111.2010,2010-02-23
h54-111.2010,2010-02-23
h61-111.2010,2010-02-24
h70-111.2010,2010-02-26
h71-111.2010,2010-02-26
h77-111.2010,2010-03-02
s30-111.2010,2010-03-02
s38-111.2010,2010-03-03
h82-111.2010,2010-03-03
h84-111.2010,2010-03-04
h86-111.2010,2010-03-04
h93-111.2010,2010-03-09
s46-111.2010,2010-03-09
s45-111.2010,2010-03-09
h96-111.2010,2010-03-10
h99-111.2010,2010-03-10
h104-111.2010,2010-03-11
h107-111.2010,2010-03-11
h105-111.2010,2010-03-11
h110-111.2010,2010-03-12
h113-111.2010,2010-03-15
h114-111.2010,2010-03-15
s49-111.2010,2010-03-15
h118-111.2010,2010-03-16
s54-111.2010,2010-03-17
h125-111.2010,2010-03-17
h122-111.2010,2010-03-17
h129-111.2010,2010-03-18
h128-111.2010,2010-03-18
s60-111.2010,2010-03-18
h132-111.2010,2010-03-18
s57-111.2010,2010-03-18
h138-111.2010,2010-03-19
h145-111.2010,2010-03-19
h146-111.2010,2010-03-19
h165-111.2010,2010-03-21
h158-111.2010,2010-03-21
h169-111.2010,2010-03-21
h156-111.2010,2010-03-21
h170-111.2010,2010-03-22
h176-111.2010,2010-03-23
h173-111.2010,2010-03-23
h177-111.2010,2010-03-23
h175-111.2010,2010-03-23
s65-111.2010,2010-03-24
h186-111.2010,2010-03-24
s79-111.2010,2010-03-24
h180-111.2010,2010-03-24
s68-111.2010,2010-03-24
s75-111.2010,2010-03-24
h188-111.2010,2010-03-25
s106-111.2010,2010-03-25
s101-111.2010,2010-03-25
s86-111.2010,2010-03-25
s102-111.2010,2010-03-25
s103-111.2010,2010-03-25
h199-111.2010,2010-04-14
s111-111.2010,2010-04-14
h205-111.2010,2010-04-15
s116-111.2010,2010-04-15
h210-111.2010,2010-04-15
h212-111.2010,2010-04-20
h216-111.2010,2010-04-21
h220-111.2010,2010-04-22
h218-111.2010,2010-04-22
h221-111.2010,2010-04-26
h230-111.2010,2010-04-28
h227-111.2010,2010-04-28
s127-111.2010,2010-04-28
h232-111.2010,2010-04-29
h239-111.2010,2010-04-29
h241-111.2010,2010-04-29
h240-111.2010,2010-04-29
h243-111.2010,2010-05-04
h252-111.2010,2010-05-06
s133-111.2010,2010-05-06
h264-111.2010,2010-05-12
s141-111.2010,2010-05-12
h262-111.2010,2010-05-12
s145-111.2010,2010-05-12
s144-111.2010,2010-05-12
h271-111.2010,2010-05-13
h268-111.2010,2010-05-13
s152-111.2010,2010-05-17
s157-111.2010,2010-05-18
s156-111.2010,2010-05-18
h273-111.2010,2010-05-18
h275-111.2010,2010-05-18
s159-111.2010,2010-05-19
h277-111.2010,2010-05-19
h288-111.2010,2010-05-20
h286-111.2010,2010-05-20
h290-111.2010,2010-05-20
h284-111.2010,2010-05-20
h292-111.2010,2010-05-24
h298-111.2010,2010-05-25
h294-111.2010,2010-05-25
h317-111.2010,2010-05-27
s174-111.2010,2010-05-27
h312-111.2010,2010-05-27
h309-111.2010,2010-05-27
s173-111.2010,2010-05-27
h310-111.2010,2010-05-27
h321-111.2010,2010-05-28
h336-111.2010,2010-05-28
h342-111.2010,2010-06-09
h340-111.2010,2010-06-09
h343-111.2010,2010-06-09
h345-111.2010,2010-06-09
h355-111.2010,2010-06-14
h356-111.2010,2010-06-14
h357-111.2010,2010-06-14
s185-111.2010,2010-06-15
s187-111.2010,2010-06-15
s188-111.2010,2010-06-15
h359-111.2010,2010-06-15
s190-111.2010,2010-06-16
s192-111.2010,2010-06-16
h367-111.2010,2010-06-16
s191-111.2010,2010-06-16
h375-111.2010,2010-06-17
h368-111.2010,2010-06-17
s196-111.2010,2010-06-21
h379-111.2010,2010-06-23
h384-111.2010,2010-06-23
h393-111.2010,2010-06-24
h388-111.2010,2010-06-24
h398-111.2010,2010-06-29
h409-111.2010,2010-06-30
h403-111.2010,2010-06-30
h412-111.2010,2010-06-30
h410-111.2010,2010-06-30
h404-111.2010,2010-06-30
h420-111.2010,2010-07-01
h433-111.2010,2010-07-01
h415-111.2010,2010-07-01
s205-111.2010,2010-07-12
h436-111.2010,2010-07-13
h438-111.2010,2010-07-14
h441-111.2010,2010-07-14
s207-111.2010,2010-07-15
h448-111.2010,2010-07-19
s209-111.2010,2010-07-20
h460-111.2010,2010-07-21
h458-111.2010,2010-07-21
h456-111.2010,2010-07-21
s212-111.2010,2010-07-21
h463-111.2010,2010-07-22
h464-111.2010,2010-07-22
s218-111.2010,2010-07-22
h462-111.2010,2010-07-22
h469-111.2010,2010-07-26
h468-111.2010,2010-07-26
h477-111.2010,2010-07-28
h480-111.2010,2010-07-28
h487-111.2010,2010-07-29
h498-111.2010,2010-07-29
h490-111.2010,2010-07-29
h495-111.2010,2010-07-29
h489-111.2010,2010-07-29
h511-111.2010,2010-07-30
h503-111.2010,2010-07-30
h502-111.2010,2010-07-30
h500-111.2010,2010-07-30
h507-111.2010,2010-07-30
s225-111.2010,2010-08-04
s224-111.2010,2010-08-04
s227-111.2010,2010-08-05
s229-111.2010,2010-08-05
h515-111.2010,2010-08-10
h517-111.2010,2010-08-10
h518-111.2010,2010-08-10
s232-111.2010,2010-09-14
s233-111.2010,2010-09-14
s231-111.2010,2010-09-14
h525-111.2010,2010-09-15
h530-111.2010,2010-09-16
s234-111.2010,2010-09-16
h559-111.2010,2010-09-29
h550-111.2010,2010-09-29
h554-111.2010,2010-09-29
h557-111.2010,2010-09-29
s247-111.2010,2010-09-29
h562-111.2010,2010-09-29
h564-111.2010,2010-09-30
h567-111.2010,2010-11-15
h569-111.2010,2010-11-16
h573-111.2010,2010-11-17
s249-111.2010,2010-11-17
h579-111.2010,2010-11-18
h577-111.2010,2010-11-18
h576-111.2010,2010-11-18
s252-111.2010,2010-11-29
h585-111.2010,2010-11-30
s255-111.2010,2010-11-30
s256-111.2010,2010-11-30
h586-111.2010,2010-11-30
h584-111.2010,2010-11-30
h593-111.2010,2010-12-01
h594-111.2010,2010-12-01
h598-111.2010,2010-12-02
h605-111.2010,2010-12-02
h608-111.2010,2010-12-07
h610-111.2010,2010-12-07
h613-111.2010,2010-12-08
s263-111.2010,2010-12-08
h620-111.2010,2010-12-08
h624-111.2010,2010-12-08
h621-111.2010,2010-12-08
s268-111.2010,2010-12-09
s270-111.2010,2010-12-09
h635-111.2010,2010-12-15
h637-111.2010,2010-12-15
h644-111.2010,2010-12-16
h639-111.2010,2010-12-16
h654-111.2010,2010-12-17
h656-111.2010,2010-12-17
h652-111.2010,2010-12-17
h650-111.2010,2010-12-17
h663-111.2010,2010-12-21
s290-111.2010,2010-12-21
s294-111.2010,2010-12-21
s288-111.2010,2010-12-21
h5-112.2011,2011-01-05
h7-112.2011,2011-01-06
h10-112.2011,2011-01-07
h15-112.2011,2011-01-20
h19-112.2011,2011-01-25
s5-112.2011,2011-01-27
s11-112.2011,2011-02-03
s12-112.2011,2011-02-07
h26-112.2011,2011-02-08
h31-112.2011,2011-02-10
h29-112.2011,2011-02-10
h33-112.2011,2011-02-11
h36-112.2011,2011-02-14
h38-112.2011,2011-02-15
s18-112.2011,2011-02-15
h41-112.2011,2011-02-15
h44-112.2011,2011-02-15
h40-112.2011,2011-02-15
h48-112.2011,2011-02-16
h54-112.2011,2011-02-16
h49-112.2011,2011-02-16
h53-112.2011,2011-02-16
h72-112.2011,2011-02-17
s25-112.2011,2011-02-17
h66-112.2011,2011-02-17
h81-112.2011,2011-02-17
h73-112.2011,2011-02-17
h80-112.2011,2011-02-17
h68-112.2011,2011-02-17
h103-112.2011,2011-02-18
h117-112.2011,2011-02-18
h116-112.2011,2011-02-18
h113-112.2011,2011-02-18
h107-112.2011,2011-02-18
h100-112.2011,2011-02-18
h109-112.2011,2011-02-18
h120-112.2011,2011-02-18
h111-112.2011,2011-02-18
h119-112.2011,2011-02-18
h129-112.2011,2011-02-19
h133-112.2011,2011-02-19
h137-112.2011,2011-02-19
h141-112.2011,2011-02-19
h140-112.2011,2011-02-19
h136-112.2011,2011-02-19
h148-112.2011,2011-02-28
h154-112.2011,2011-03-01
h155-112.2011,2011-03-02
h158-112.2011,2011-03-02
h161-112.2011,2011-03-03
s32-112.2011,2011-03-07
s35-112.2011,2011-03-08
h164-112.2011,2011-03-08
h166-112.2011,2011-03-09
h170-112.2011,2011-03-10
h176-112.2011,2011-03-14
h178-112.2011,2011-03-15
h177-112.2011,2011-03-15
h188-112.2011,2011-03-16
h181-112.2011,2011-03-16
s44-112.2011,2011-03-17
h191-112.2011,2011-03-17
h197-112.2011,2011-03-29
h203-112.2011,2011-03-30
h200-112.2011,2011-03-30
h199-112.2011,2011-03-30
h212-112.2011,2011-03-31
h222-112.2011,2011-04-01
h214-112.2011,2011-04-01
s47-112.2011,2011-04-04
s50-112.2011,2011-04-05
h228-112.2011,2011-04-05
h238-112.2011,2011-04-06
h233-112.2011,2011-04-06
s55-112.2011,2011-04-06
s52-112.2011,2011-04-06
h248-112.2011,2011-04-07
h245-112.2011,2011-04-07
h246-112.2011,2011-04-07
h244-112.2011,2011-04-07
h253-112.2011,2011-04-09
h262-112.2011,2011-04-13
h264-112.2011,2011-04-13
h272-112.2011,2011-04-14
h271-112.2011,2011-04-14
h273-112.2011,2011-04-15
h280-112.2011,2011-05-03
s65-112.2011,2011-05-04
h290-112.2011,2011-05-04
h295-112.2011,2011-05-05
h305-112.2011,2011-05-11
h306-112.2011,2011-05-11
h313-112.2011,2011-05-11
h317-112.2011,2011-05-12
h318-112.2011,2011-05-12
h320-112.2011,2011-05-12
h324-112.2011,2011-05-13
h329-112.2011,2011-05-13
s72-112.2011,2011-05-17
h332-112.2011,2011-05-23
h337-112.2011,2011-05-24
h333-112.2011,2011-05-24
h349-112.2011,2011-05-25
h348-112.2011,2011-05-25
h342-112.2011,2011-05-25
s81-112.2011,2011-05-26
h356-112.2011,2011-05-26
h374-112.2011,2011-05-26
h369-112.2011,2011-05-26
h367-112.2011,2011-05-26
h364-112.2011,2011-05-26
s84-112.2011,2011-05-26
h368-112.2011,2011-05-26
h361-112.2011,2011-05-26
h365-112.2011,2011-05-26
h391-112.2011,2011-06-02
h405-112.2011,2011-06-02
h392-112.2011,2011-06-02
h389-112.2011,2011-06-02
h401-112.2011,2011-06-02
h398-112.2011,2011-06-02
h400-112.2011,2011-06-02
h397-112.2011,2011-06-02
h406-112.2011,2011-06-02
s85-112.2011,2011-06-06
h419-112.2011,2011-06-14
h418-112.2011,2011-06-14
h430-112.2011,2011-06-15
h422-112.2011,2011-06-15
h433-112.2011,2011-06-15
h425-112.2011,2011-06-15
h428-112.2011,2011-06-15
h434-112.2011,2011-06-15
h432-112.2011,2011-06-15
s91-112.2011,2011-06-16
h455-112.2011,2011-06-16
h452-112.2011,2011-06-16
h444-112.2011,2011-06-16
h447-112.2011,2011-06-16
h446-112.2011,2011-06-16
h459-112.2011,2011-06-16
h437-112.2011,2011-06-16
s90-112.2011,2011-06-16
h467-112.2011,2011-06-22
h466-112.2011,2011-06-22
h478-112.2011,2011-06-22
h487-112.2011,2011-06-23
h485-112.2011,2011-06-23
h483-112.2011,2011-06-23
h494-112.2011,2011-06-24
s102-112.2011,2011-06-29
s100-112.2011,2011-06-29
s99-112.2011,2011-06-29
s105-112.2011,2011-07-05
h495-112.2011,2011-07-06
h497-112.2011,2011-07-06
h498-112.2011,2011-07-06
h499-112.2011,2011-07-06
h511-112.2011,2011-07-07
h513-112.2011,2011-07-07
h516-112.2011,2011-07-07
h505-112.2011,2011-07-07
h519-112.2011,2011-07-07
h523-112.2011,2011-07-07
h503-112.2011,2011-07-07
h518-112.2011,2011-07-07
h531-112.2011,2011-07-08
h533-112.2011,2011-07-08
h557-112.2011,2011-07-12
h563-112.2011,2011-07-12
h545-112.2011,2011-07-12
h546-112.2011,2011-07-12
h549-112.2011,2011-07-12
h566-112.2011,2011-07-13
h570-112.2011,2011-07-13
h572-112.2011,2011-07-13
s111-112.2011,2011-07-14
h577-112.2011,2011-07-14
h581-112.2011,2011-07-14
h597-112.2011,2011-07-15
h586-112.2011,2011-07-15
h607-112.2011,2011-07-19
h609-112.2011,2011-07-20
h629-112.2011,2011-07-22
h625-112.2011,2011-07-22
h631-112.2011,2011-07-25
h639-112.2011,2011-07-26
h642-112.2011,2011-07-26
h643-112.2011,2011-07-26
h638-112.2011,2011-07-26
h648-112.2011,2011-07-26
h654-112.2011,2011-07-27
h659-112.2011,2011-07-27
h655-112.2011,2011-07-27
h656-112.2011,2011-07-27
h664-112.2011,2011-07-28
h676-112.2011,2011-07-29
h681-112.2011,2011-07-30
h682-112.2011,2011-07-30
s121-112.2011,2011-07-30
h689-112.2011,2011-08-01
s124-112.2011,2011-09-06
s128-112.2011,2011-09-08
h698-112.2011,2011-09-09
h701-112.2011,2011-09-12
h699-112.2011,2011-09-12
s131-112.2011,2011-09-12
h704-112.2011,2011-09-13
h703-112.2011,2011-09-13
s134-112.2011,2011-09-15
s136-112.2011,2011-09-15
h707-112.2011,2011-09-15
s141-112.2011,2011-09-20
s143-112.2011,2011-09-21
s145-112.2011,2011-09-21
s146-112.2011,2011-09-22
s150-112.2011,2011-09-22
h735-112.2011,2011-09-23
h730-112.2011,2011-09-23
h732-112.2011,2011-09-23
h731-112.2011,2011-09-23
h738-112.2011,2011-09-23
h744-112.2011,2011-10-03
h753-112.2011,2011-10-05
h754-112.2011,2011-10-05
h749-112.2011,2011-10-05
h763-112.2011,2011-10-06
h762-112.2011,2011-10-06
h769-112.2011,2011-10-06
h768-112.2011,2011-10-06
s156-112.2011,2011-10-06
h784-112.2011,2011-10-12
h781-112.2011,2011-10-12
s165-112.2011,2011-10-13
h791-112.2011,2011-10-13
s164-112.2011,2011-10-13
h793-112.2011,2011-10-14
h792-112.2011,2011-10-14
h799-112.2011,2011-10-14
s166-112.2011,2011-10-17
s177-112.2011,2011-10-20
s172-112.2011,2011-10-20
s178-112.2011,2011-10-20
s186-112.2011,2011-10-21
s184-112.2011,2011-10-21
h802-112.2011,2011-10-24
h807-112.2011,2011-10-26
h815-112.2011,2011-10-27
s193-112.2011,2011-11-01
s191-112.2011,2011-11-01
s192-112.2011,2011-11-01
h818-112.2011,2011-11-02
h826-112.2011,2011-11-03
h827-112.2011,2011-11-03
s197-112.2011,2011-11-03
h829-112.2011,2011-11-04
h836-112.2011,2011-11-04
s200-112.2011,2011-11-10
s202-112.2011,2011-11-10
h840-112.2011,2011-11-15
h842-112.2011,2011-11-15
h845-112.2011,2011-11-16
h853-112.2011,2011-11-16
h846-112.2011,2011-11-16
h858-112.2011,2011-11-18
h861-112.2011,2011-11-29
h871-112.2011,2011-11-30
h870-112.2011,2011-11-30
h875-112.2011,2011-12-01
s213-112.2011,2011-12-01
s216-112.2011,2011-12-01
h872-112.2011,2011-12-01
h873-112.2011,2011-12-01
s219-112.2011,2011-12-01
h887-112.2011,2011-12-02
h886-112.2011,2011-12-02
h891-112.2011,2011-12-06
s222-112.2011,2011-12-06
h894-112.2011,2011-12-07
h896-112.2011,2011-12-07
h898-112.2011,2011-12-07
h900-112.2011,2011-12-07
h906-112.2011,2011-12-08
h912-112.2011,2011-12-08
s227-112.2011,2011-12-12
h915-112.2011,2011-12-12
h918-112.2011,2011-12-13
h929-112.2011,2011-12-14
h934-112.2011,2011-12-15
h937-112.2011,2011-12-16
s235-112.2011,2011-12-17
s234-112.2011,2011-12-17
h945-112.2011,2011-12-20
h1-112.2012,2012-01-17
h3-112.2012,2012-01-18
h12-112.2012,2012-01-31
h20-112.2012,2012-02-01
h16-112.2012,2012-02-01
h14-112.2012,2012-02-01
h21-112.2012,2012-02-02
s11-112.2012,2012-02-02
s14-112.2012,2012-02-02
h22-112.2012,2012-02-02
h39-112.2012,2012-02-07
h44-112.2012,2012-02-08
s17-112.2012,2012-02-09
h52-112.2012,2012-02-15
h53-112.2012,2012-02-15
h55-112.2012,2012-02-15
h65-112.2012,2012-02-16
s22-112.2012,2012-02-17
s20-112.2012,2012-02-17
s23-112.2012,2012-02-27
h77-112.2012,2012-02-28
h74-112.2012,2012-02-28
h78-112.2012,2012-02-28
h80-112.2012,2012-02-29
h91-112.2012,2012-02-29
h92-112.2012,2012-03-01
s25-112.2012,2012-03-06
s26-112.2012,2012-03-06
h104-112.2012,2012-03-07
h102-112.2012,2012-03-07
h105-112.2012,2012-03-07
h108-112.2012,2012-03-08
s35-112.2012,2012-03-08
s46-112.2012,2012-03-14
h117-112.2012,2012-03-20
h112-112.2012,2012-03-20
h118-112.2012,2012-03-21
s58-112.2012,2012-03-22
